TestMSE: 830.3809814453125, TrainMSE: 146.69586181640625
TestMSE: 467.36199951171875, TrainMSE: 78.08722686767578
TestMSE: 285.3726806640625, TrainMSE: 43.59465408325195
TestMSE: 194.5887451171875, TrainMSE: 26.337318420410156
TestMSE: 149.01162719726562, TrainMSE: 17.65502166748047
TestMSE: 125.84314727783203, TrainMSE: 13.246570587158203
TestMSE: 113.78462219238281, TrainMSE: 10.973624229431152
TestMSE: 107.23734283447266, TrainMSE: 9.771843910217285
TestMSE: 103.42720031738281, TrainMSE: 9.110328674316406
TestMSE: 100.97948455810547, TrainMSE: 8.723530769348145
TestMSE: 99.21357727050781, TrainMSE: 8.478070259094238
TestMSE: 97.79234313964844, TrainMSE: 8.306595802307129
TestMSE: 96.54878234863281, TrainMSE: 8.17476749420166
TestMSE: 95.40005493164062, TrainMSE: 8.064887046813965
TestMSE: 94.30535125732422, TrainMSE: 7.967717170715332
TestMSE: 93.2444839477539, TrainMSE: 7.8783183097839355
TestMSE: 92.2072525024414, TrainMSE: 7.793983459472656
TestMSE: 91.1883316040039, TrainMSE: 7.713165283203125
TestMSE: 90.18537902832031, TrainMSE: 7.634959697723389
TestMSE: 89.19701385498047, TrainMSE: 7.558835029602051
TestMSE: 88.22248077392578, TrainMSE: 7.484442234039307
TestMSE: 87.26127624511719, TrainMSE: 7.411547660827637
TestMSE: 86.31322479248047, TrainMSE: 7.339999198913574
TestMSE: 85.37803649902344, TrainMSE: 7.269683361053467
TestMSE: 84.45532989501953, TrainMSE: 7.200517177581787
TestMSE: 83.54522705078125, TrainMSE: 7.132458686828613
TestMSE: 82.64733123779297, TrainMSE: 7.065437316894531
TestMSE: 81.76168060302734, TrainMSE: 6.9994425773620605
TestMSE: 80.8878402709961, TrainMSE: 6.934413433074951
TestMSE: 80.02576446533203, TrainMSE: 6.870349407196045
TestMSE: 79.17523193359375, TrainMSE: 6.807211399078369
TestMSE: 78.33631896972656, TrainMSE: 6.74501371383667
TestMSE: 77.50878143310547, TrainMSE: 6.6837263107299805
TestMSE: 76.69226837158203, TrainMSE: 6.623292446136475
TestMSE: 75.88684844970703, TrainMSE: 6.563741683959961
TestMSE: 75.09215545654297, TrainMSE: 6.505039691925049
TestMSE: 74.3082275390625, TrainMSE: 6.447192668914795
TestMSE: 73.5347671508789, TrainMSE: 6.390173435211182
TestMSE: 72.77179718017578, TrainMSE: 6.333972454071045
TestMSE: 72.01904296875, TrainMSE: 6.278576374053955
TestMSE: 71.27643585205078, TrainMSE: 6.223975658416748
TestMSE: 70.5438003540039, TrainMSE: 6.170156478881836
TestMSE: 69.82099914550781, TrainMSE: 6.117108345031738
TestMSE: 69.10792541503906, TrainMSE: 6.064821243286133
TestMSE: 68.40446472167969, TrainMSE: 6.01328706741333
TestMSE: 67.7104721069336, TrainMSE: 5.962493419647217
TestMSE: 67.02577209472656, TrainMSE: 5.9124226570129395
TestMSE: 66.35028076171875, TrainMSE: 5.863073348999023
