TestMSE: 34.653160095214844, TrainMSE: 10.859967231750488
TestMSE: 34.2940559387207, TrainMSE: 10.730883598327637
TestMSE: 1041.1641845703125, TrainMSE: 120.99714660644531
TestMSE: 255.52926635742188, TrainMSE: 30.122516632080078
TestMSE: 67.37931060791016, TrainMSE: 8.497780799865723
TestMSE: 21.79031753540039, TrainMSE: 3.3230199813842773
TestMSE: 10.621866226196289, TrainMSE: 2.0853209495544434
TestMSE: 7.82631778717041, TrainMSE: 1.788965106010437
TestMSE: 7.097445011138916, TrainMSE: 1.7173069715499878
TestMSE: 6.8928728103637695, TrainMSE: 1.6991305351257324
TestMSE: 6.828001022338867, TrainMSE: 1.6936339139938354
TestMSE: 6.803455829620361, TrainMSE: 1.6911342144012451
TestMSE: 6.791887283325195, TrainMSE: 1.689347505569458
TestMSE: 6.785063743591309, TrainMSE: 1.6877394914627075
TestMSE: 6.780206203460693, TrainMSE: 1.6861885786056519
TestMSE: 6.776239395141602, TrainMSE: 1.6846662759780884
TestMSE: 6.772721290588379, TrainMSE: 1.6831657886505127
TestMSE: 6.769453525543213, TrainMSE: 1.6816846132278442
TestMSE: 6.766341209411621, TrainMSE: 1.6802220344543457
TestMSE: 6.763327121734619, TrainMSE: 1.678775668144226
TestMSE: 6.760395050048828, TrainMSE: 1.6773467063903809
TestMSE: 6.757529258728027, TrainMSE: 1.6759321689605713
TestMSE: 6.754715442657471, TrainMSE: 1.6745312213897705
TestMSE: 6.7519612312316895, TrainMSE: 1.6731458902359009
TestMSE: 6.7492547035217285, TrainMSE: 1.6717729568481445
TestMSE: 6.746593952178955, TrainMSE: 1.6704128980636597
TestMSE: 6.743973731994629, TrainMSE: 1.6690640449523926
TestMSE: 6.741390228271484, TrainMSE: 1.6677263975143433
TestMSE: 6.7388410568237305, TrainMSE: 1.6663991212844849
TestMSE: 6.736320972442627, TrainMSE: 1.6650810241699219
TestMSE: 6.733831882476807, TrainMSE: 1.663773536682129
TestMSE: 6.7313690185546875, TrainMSE: 1.6624736785888672
TestMSE: 6.728931903839111, TrainMSE: 1.6611828804016113
TestMSE: 6.726515293121338, TrainMSE: 1.6598994731903076
TestMSE: 6.724118709564209, TrainMSE: 1.6586240530014038
TestMSE: 6.721742153167725, TrainMSE: 1.6573559045791626
TestMSE: 6.719376087188721, TrainMSE: 1.6560935974121094
TestMSE: 6.71702766418457, TrainMSE: 1.6548384428024292
TestMSE: 6.714694023132324, TrainMSE: 1.6535890102386475
TestMSE: 6.7123703956604, TrainMSE: 1.652345895767212
TestMSE: 6.710055351257324, TrainMSE: 1.6511080265045166
TestMSE: 6.707745552062988, TrainMSE: 1.6498749256134033
TestMSE: 6.705446243286133, TrainMSE: 1.6486468315124512
TestMSE: 6.703145980834961, TrainMSE: 1.6474231481552124
TestMSE: 6.700852394104004, TrainMSE: 1.6462035179138184
TestMSE: 6.698561191558838, TrainMSE: 1.6449885368347168
TestMSE: 6.696270942687988, TrainMSE: 1.64377760887146
TestMSE: 6.693980693817139, TrainMSE: 1.6425702571868896
TestMSE: 6.69168758392334, TrainMSE: 1.6413662433624268
TestMSE: 6.689394474029541, TrainMSE: 1.6401655673980713
TestMSE: 6.687097549438477, TrainMSE: 1.6389684677124023
TestMSE: 6.6847944259643555, TrainMSE: 1.6377735137939453
TestMSE: 128.68450927734375, TrainMSE: 17.675931930541992
TestMSE: 52.45034408569336, TrainMSE: 9.547131538391113
TestMSE: 30.96019744873047, TrainMSE: 7.377222537994385
TestMSE: 24.403905868530273, TrainMSE: 6.731330871582031
TestMSE: 21.98824119567871, TrainMSE: 6.462876319885254
TestMSE: 20.840606689453125, TrainMSE: 6.291699409484863
TestMSE: 20.134357452392578, TrainMSE: 6.148289680480957
TestMSE: 19.60442352294922, TrainMSE: 6.014930725097656
TestMSE: 19.154911041259766, TrainMSE: 5.88691520690918
TestMSE: 18.747074127197266, TrainMSE: 5.7628889083862305
TestMSE: 18.363889694213867, TrainMSE: 5.642401695251465
TestMSE: 17.997447967529297, TrainMSE: 5.525235176086426
TestMSE: 17.643901824951172, TrainMSE: 5.411284923553467
TestMSE: 17.301280975341797, TrainMSE: 5.300439834594727
TestMSE: 16.968576431274414, TrainMSE: 5.1926398277282715
TestMSE: 16.64505958557129, TrainMSE: 5.0877766609191895
TestMSE: 16.33032989501953, TrainMSE: 4.985767841339111
TestMSE: 16.02410316467285, TrainMSE: 4.886559009552002
TestMSE: 15.726065635681152, TrainMSE: 4.790055274963379
TestMSE: 15.436029434204102, TrainMSE: 4.696203708648682
TestMSE: 15.153722763061523, TrainMSE: 4.604918003082275
TestMSE: 14.878942489624023, TrainMSE: 4.516128063201904
TestMSE: 14.611496925354004, TrainMSE: 4.4297685623168945
TestMSE: 14.351173400878906, TrainMSE: 4.345771789550781
TestMSE: 14.097795486450195, TrainMSE: 4.264078140258789
TestMSE: 13.851140975952148, TrainMSE: 4.184613227844238
TestMSE: 13.611082077026367, TrainMSE: 4.107335567474365
TestMSE: 13.377400398254395, TrainMSE: 4.032169342041016
TestMSE: 13.149914741516113, TrainMSE: 3.959052801132202
TestMSE: 12.928509712219238, TrainMSE: 3.887946605682373
TestMSE: 12.713006019592285, TrainMSE: 3.818798542022705
TestMSE: 12.50322437286377, TrainMSE: 3.751544237136841
TestMSE: 12.299007415771484, TrainMSE: 3.6861255168914795
TestMSE: 12.100236892700195, TrainMSE: 3.6225087642669678
TestMSE: 11.906729698181152, TrainMSE: 3.560631513595581
TestMSE: 11.718382835388184, TrainMSE: 3.500458240509033
TestMSE: 11.535014152526855, TrainMSE: 3.4419291019439697
TestMSE: 11.356524467468262, TrainMSE: 3.385007619857788
TestMSE: 11.182775497436523, TrainMSE: 3.329650402069092
TestMSE: 11.01361083984375, TrainMSE: 3.275804281234741
TestMSE: 10.848965644836426, TrainMSE: 3.2234463691711426
TestMSE: 10.688651084899902, TrainMSE: 3.1725172996520996
TestMSE: 10.532596588134766, TrainMSE: 3.1229865550994873
TestMSE: 10.380674362182617, TrainMSE: 3.074819564819336
TestMSE: 10.232770919799805, TrainMSE: 3.027975559234619
TestMSE: 10.088786125183105, TrainMSE: 2.982419013977051
